name,sortBy,nameEntry,tagEntry,teacherEntry,dateText,dateKnown,tag,supertag,attributionName,group,lineage,indexExcerpts,indexSessions,searchable,teacherPage,attribute,allowTag
Ajahn Utane Kalyāno,"(481, 1991.137)",True,True,False,17 May 1991,exactDate,Ajahn Utane,Other Thai Forest teachers,,,,,,,,,
Ajahn Piyadhammo,"(481, 1995.35)",True,True,False,Dec. 1995,knownMonth,Ajahn Piyadhammo,Other Thai Forest teachers,,,,,,,,,
Tan Chao Khun Upāli Guṇūpamājahn,"(512, 1876.18)",True,True,True,1876,estimatedYear,Chao Khun Upāli,Other Thai monastics,Chao Khun Upāli,Monastics,Other Thai,True,True,True,True,True,True
Chao Khun Nor,"(512, 1925.082)",True,True,False,23 March 1925,exactDate,Chao Khun Nor,Other Thai monastics,,,,,,,,,
P. A. Payutto,"(512, 1961.205)",True,True,True,24 Jul 1961,exactDate,P. A. Payutto,Other Thai monastics,P. A. Payutto,Monastics,Other Thai,False,False,True,True,True,True
Tan Chao Khun Prayoon Dhammacitto,"(512, 1975.18)",True,True,False,1975,estimatedYear,Chao Khun Prayoon,Other Thai monastics,,,,,,,,,
Mahasi Sayadaw,"(517, 1924.18)",True,True,False,1924,estimatedYear,Mahasi Sayadaw,Other Theravāda monastics,,,,,,,,,
Preah Mahāghosānanda,"(517, 1933.18)",True,True,False,1933,estimatedYear,Preah Mahāghosānanda,Other Theravāda monastics,,,,,,,,,
Bhante Gunaratana,"(517, 1947.18)",True,True,False,1947,knownYear,Bhante Gunaratana,Other Theravāda monastics,,,,,,,,,
Bhikkhu Ñāṇamoli,"(517, 1950.18)",True,False,True,1950,knownYear,,,Bhikkhu Ñāṇamoli,Monastics,Other Theravāda,True,True,True,True,True,True
Pa Auk Sayadaw,"(517, 1954.18)",True,True,True,1954,knownYear,Pa Auk Sayadaw,Other Theravāda monastics,Pa Auk Sayadaw,Monastics,Other Theravāda,False,False,True,True,True,True
Bhikkhu Bodhi,"(517, 1973.18)",True,True,False,1973,knownYear,Bhikkhu Bodhi,Other Theravāda monastics,,,,,,,,,
Ayya Tāthalokā,"(517, 1997.18)",True,True,False,1997,knownYear,Ayya Tāthalokā,Other Theravāda monastics,,,,,,,,,
Venerable Analayo,"(517, 2007.18)",True,True,True,2007,knownYear,Ven. Analayo,Other Theravāda monastics,Venerable Analayo,Monastics,Other Theravāda,False,False,True,True,True,True
Dōgen,"(525, 1220.18)",True,True,False,1220,estimatedYear,Dōgen,Mahāyāna monastics,,,,,,,,,
Pabongka Rinpoche,"(525, 1898.18)",True,False,True,1898,estimatedYear,,,Pabongka Rinpoche,Monastics,Vajrayāna,False,False,True,True,True,True
Trulshik Rinpoche,"(525, 1943.18)",True,True,False,1943,estimatedYear,Trulshik Rinpoche,Mahāyāna monastics,,,,,,,,,
Master Hsuan Hua,"(525, 1947.18)",True,True,False,1947,knownYear,Master Hsuan Hua,Mahāyāna monastics,,,,,,,,,
The Dalai Lama,"(525, 1955.18)",True,True,False,1955,estimatedYear,Dalai Lama,Mahāyāna monastics,,,,,,,,,
Lama Zopa Rinpoche,"(525, 1966.18)",True,True,False,1966,estimatedYear,Lama Zopa,Mahāyāna monastics,,,,,,,,,
Reverend Heng Sure,"(525, 1976.18)",True,True,False,1976,knownYear,Rev. Heng Sure,Mahāyāna monastics,,,,,,,,,
I. B. Horner,"(532, 1896.18)",True,False,True,1896,knownYear,,,I. B. Horner,Lay teachers,,True,True,True,True,True,True
